Loop Index,GAP Value,Removed Feature Index,Removed Feature Name
0,0.12786351587009617,34,Duration_Smoking
1,0.13412177327073241,6,SGRQ_scoreTotal
2,0.13631936600564626,13,Slicer_IntensityStdDev_In
3,0.1399738403611529,28,Age_Enroll
4,0.14122096484331978,41,FEF2575_utah
5,0.14087496521572435,27,WallAreaPct_seg
6,0.14648168928700236,49,deltaFVC
7,0.14632432689892408,33,ATS_PackYears
8,0.15031224390835954,36,FVCpp_utah
9,0.1596582861522482,51,BDR_pct_FVC
10,0.15773862003412722,48,deltaFEV1
11,0.16611443815465948,50,BDR_pct_FEV1
12,0.16845025050960458,31,TLCpp_race_adjusted
13,0.17202207119515969,5,SGRQ_scoreImpact
14,0.17239581984735158,26,Pi15_SRWA
15,0.17939401070954122,2,BMI
16,0.184280248592125,20,Slicer_IntensityStdDev_Ex
17,0.19099448026190893,3,SGRQ_scoreSymptom
18,0.1969126879134426,23,Slicer_ExpInspMeanAtten_ratio
19,0.20509189067322339,0,Weight_KG
20,0.21203260004327087,25,Pi10_SRWA
21,0.21704386842415532,37,FEV1_FVC_utah
22,0.21676907227268519,19,Slicer_IntensityMean_Ex
23,0.22094510220716418,32,FRCpp_race_adjusted
24,0.22851267805348893,12,Slicer_IntensityMean_In
25,0.23279472954528579,4,SGRQ_scoreActive
26,0.24210126637049528,47,pre_FEF2575
27,0.25401406384963987,11,Insp_Below856_Slicer
28,0.267924945955267,35,FEV1pp_utah
29,0.26841692247512094,14,FRC_Slicer
30,0.26485865170937578,45,pre_FEV1_FVC
31,0.27071629657578605,46,pre_PEF
32,0.27916278141361345,44,pre_FVC
33,0.27410534502761846,10,Insp_Below910_Slicer
34,0.27834078874372131,24,UpperThird_LowerThird_Slicer
35,0.28377245789945255,40,PEF_utah
36,0.28801022647277125,18,Exp_Below856_Slicer
37,0.28980926725313549,7,TLC_Slicer
38,0.29315157230883893,15,pctGasTrap_Slicer
39,0.29548108101624071,42,pre_FEV1
40,0.29836302476962917,38,FEV1_utah
41,0.3037219097150814,39,FVC_utah
42,0.32089786474351623,43,pre_FEV6
43,0.32436760683396848,1,Height_CM
44,0.32210064887259465,22,pctEmph_LowerThird_Slicer
45,0.30489517861570115,17,Exp_Below910_Slicer
46,0.27866872309284413,16,Exp_Below950_Slicer
47,0.21836943314230806,8,pctEmph_Slicer
48,0.21381319294957651,9,Insp_Below950_Slicer
49,0.0010182373433539338,21,pctEmph_UpperThird_Slicer
50,-0.0021514032424195806,30,FRCpred_race_adjusted
""
""
Last Remaining Feature,TLCpred_race_adjusted
